Language,Language (local),Wiki,Articles,Wiki Size (bytes),Uncompressed Wiki Size (bytes),Tokens,In mBERT?
Adyghe,адыгабзэ,ady,421,"383,493","434,097","38,334",n
Greenlandic,kalaallisut,kl,833,"617,188","335,677","36,642",n
Kongo,Kongo,kg,"1,212","433,293","192,400","36,203",n
Norfolk,Norfuk / Pitkern,pih,803,"695,993","157,741","34,635",n
Lak,лакку,lbe,"1,223","1,162,444","338,552","34,533",n
Tigrinya,ትግርኛ,ti,196,"399,101","339,695","34,075",n
Venda,Tshivenda,ve,372,"268,389","186,891","33,696",n
Tumbuka,chiTumbuka,tum,588,"330,635","183,856","33,068",n
Tahitian,reo tahiti,ty,"1,208","493,817","133,553","30,657",n
Ewe,eʋegbe,ee,359,"445,407","151,261","29,176",n
Nauruan,Dorerin Naoero,na,"1,485","446,120","145,474","27,688",n
Chamorro,Chamoru,ch,513,"698,341","115,863","22,497",n
Kashmiri,कॉशुर / کٲشُر,ks,425,"335,342","145,187","18,187",n
Cheyenne,Tsetsêhestâhese,chy,619,"311,449","58,861","12,642",n
Sango,Sängö,sg,262,"282,529","47,462","10,054",n
Cree,Nēhiyawēwin / ᓀᐦᐃᔭᐍᐏᐣ,cr,118,"270,883","52,104","9,812",n
Inuktitut,ᐃᓄᒃᑎᑐᑦ/inuktitut,iu,472,"265,041","108,805","9,563",n
Inupiaq,Iñupiak,ik,280,"223,104","51,508","8,163",n
Ndonga,Oshiwambo,ng,8,"83,480","7,183","1,080",n
Marshallese,Ebon,mh,4,"18,397","2,576",542,n
Choctaw,Choctaw,cho,6,"16,553","1,136",212,n
Nuosu,ꆇꉙ,ii,3,"21,669",541,88,n
Kuanyama,Kwanyama,kj,4,"6,960",299,46,n
Afar,Qafár af,aa,1,"33,928",146,26,n
Muscogee,Mvskoke,mus,1,"4,445",74,26,n
Hiri Motu,Hiri Motu,ho,3,"8,773",109,17,n
Herero,Otsiherero,hz,0,"6,750",10,2,n
Kanuri,Kanuri,kr,0,"4,174",10,2,n
